student_id,age,gender,city_type,study_hours_per_day,deep_work_sessions,assignment_completion_rate,attendance_percentage,social_media_hours,doomscrolling_before_sleep,notification_distractions,ai_tool_usage_hours,gaming_hours,stress_level,motivation_level,focus_score,procrastination_index,mental_state,sleep_hours,caffeine_intake,physical_activity_hours,internet_quality,family_support,financial_stress,learning_style,career_goal,productivity_after_midnight,revision_efficiency,burnout_risk,consistency_score,final_exam_score,performance_category
0,21,Female,Semi-Urban,3.2,7,100,70,3.8,0,107,0.6,1.8,8,5,4.0,8,Balanced,5.8,4,0.6,1,10,6,Audio,Engineering,9,1,10,3,32,Low
1,19,Female,Semi-Urban,3.9,2,46,70,2.6,1,93,1.5,1.1,4,7,8.0,3,Burnout,6.1,5,0.0,4,2,6,Practical,Business,6,10,4,6,59,Medium
2,16,Female,Urban,4.3,7,54,57,4.3,1,82,0.5,0.0,2,5,8.0,10,Burnout,6.6,4,1.3,9,1,9,Visual,Engineering,7,9,8,1,34,Low
3,19,Male,Semi-Urban,5.3,1,78,90,1.7,0,27,1.4,3.8,8,6,3.0,1,Burnout,8.0,2,1.3,1,5,10,Reading,Medical,7,7,9,10,60,Medium
4,17,Female,Urban,4.1,3,100,81,2.6,0,8,1.3,2.5,4,7,3.0,6,Focused,6.9,5,1.7,9,5,6,Visual,Medical,4,10,7,9,77,High
5,23,Male,Urban,3.5,2,96,62,0.0,0,41,1.8,0.4,8,6,8.0,9,Focused,7.6,3,1.2,4,7,2,Reading,Medical,3,1,5,1,56,Medium
6,22,Female,Urban,4.2,1,67,72,2.4,1,105,2.7,0.0,2,5,10.0,6,Focused,7.4,2,0.1,8,1,6,Practical,Business,8,5,4,2,74,Medium
7,15,Male,Rural,7.3,0,99,55,4.2,1,63,1.9,3.1,3,4,7.0,4,Burnout,5.4,0,0.3,2,8,1,Audio,Medical,9,9,2,7,88,High
8,17,Male,Rural,3.1,7,96,98,2.2,1,6,2.5,2.2,7,9,9.0,3,Balanced,7.5,3,1.4,8,6,8,Visual,Arts,1,8,4,1,81,High
9,16,Male,Urban,2.9,1,93,84,1.2,1,37,2.2,2.0,4,8,8.0,7,Balanced,6.0,2,1.7,3,6,7,Reading,Medical,6,6,6,3,71,Medium
10,16,Female,Urban,6.0,6,72,54,1.0,1,65,4.3,2.0,1,1,5.0,6,Focused,6.4,4,1.6,3,1,4,Audio,Research,5,7,1,3,76,High
11,22,Male,Urban,2.1,5,63,99,3.1,0,6,0.4,3.3,9,6,7.0,10,Burnout,6.0,6,0.0,8,10,7,Reading,Engineering,9,4,4,1,18,Low
12,22,Male,Urban,5.4,3,90,72,4.0,0,19,0.7,1.6,7,6,3.0,9,Focused,6.7,0,1.1,4,10,6,Reading,Research,6,5,1,8,64,Medium
